section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,away_sp_fip,home_sp_fip,away_sp_factor,home_sp_factor,away_bp_factor,home_bp_factor,away_runs_proj,home_runs_proj,away_win_prob,home_win_prob,ml_pick,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,status_reason,away_score,home_score,ml_winner
projection,2026-05-04,NYM,COL,PASS,53.1,,,,,,,,,5.48,5.11,0.531,0.469,NYM,0.531,1.883,1.01,-10000,fanduel,-45.91,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,BOS,DET,PASS,51.5,,,,,,,,,4.36,4.19,0.515,0.485,BOS,0.515,1.942,1.1493,-670,fanduel,-35.51,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,TOR,TB,PASS,53.2,,,,,,,,,4.17,4.55,0.468,0.532,TB,0.532,1.88,1.1923,-520,fanduel,-30.67,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,PHI,MIA,PASS,52.9,,,,,,,,,3.83,4.18,0.471,0.529,MIA,0.529,1.89,2.42,142,fanduel,11.58,5.0,2u,Market gated off (ROI -4.55%),,,
projection,2026-05-04,BAL,NYY,PASS,63.3,,,,,,,,,3.84,5.46,0.367,0.633,NYY,0.633,1.58,1.0833,-1200,fanduel,-29.01,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,CIN,CHC,PASS,56.9,,,,,,,,,4.27,5.1,0.431,0.569,CHC,0.569,1.757,1.4651,-215,fanduel,-11.35,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,CLE,KC,PASS,50.1,,,,,,,,,5.02,5.01,0.501,0.499,CLE,0.501,1.996,1.3571,-280,fanduel,-23.59,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,MIL,STL,PASS,55.5,,,,,,,,,5.38,4.72,0.555,0.445,MIL,0.555,1.802,1.7576,-132,fanduel,-1.4,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,LAD,HOU,PASS,59.7,,,,,,,,,5.25,4.08,0.597,0.403,LAD,0.597,1.675,1.5,-200,fanduel,-6.97,0.0,PASS,Market gated off (ROI -4.55%),,,
projection,2026-05-04,CWS,LAA,PASS,55.3,,,,,,,,,4.64,4.01,0.553,0.447,CWS,0.553,1.808,2.34,134,fanduel,12.56,5.0,2u,Market gated off (ROI -4.55%),,,
