game,market,side,american,decimal,book,vig_free_pct
NYM @ COL,moneyline,NYM,-10000,1.01,fanduel,94.7%
NYM @ COL,moneyline,COL,+1700,18.0,fanduel,5.3%
NYM @ COL,totals,OVER 6.5,+580,6.8,fanduel,13.8%
NYM @ COL,totals,UNDER 6.5,-1100,1.0909,fanduel,86.2%
BOS @ DET,moneyline,BOS,-670,1.1493,fanduel,82.2%
BOS @ DET,moneyline,DET,+430,5.3,fanduel,17.8%
BOS @ DET,run_line,BOS -1.5,-230,1.4348,fanduel,
BOS @ DET,run_line,DET +1.5,+168,2.68,fanduel,
BOS @ DET,totals,OVER 8.5,+102,2.02,fanduel,46.2%
BOS @ DET,totals,UNDER 8.5,-136,1.7353,fanduel,53.8%
PHI @ MIA,moneyline,PHI,-184,1.5435,fanduel,61.1%
PHI @ MIA,moneyline,MIA,+142,2.42,fanduel,38.9%
PHI @ MIA,run_line,MIA +1.5,-188,1.5319,fanduel,
PHI @ MIA,run_line,PHI -1.5,+140,2.4,fanduel,
PHI @ MIA,totals,OVER 4.5,-160,1.625,fanduel,57.5%
PHI @ MIA,totals,UNDER 4.5,+120,2.2,fanduel,42.5%
TOR @ TB,moneyline,TOR,+350,4.5,fanduel,20.9%
TOR @ TB,moneyline,TB,-520,1.1923,fanduel,79.1%
TOR @ TB,run_line,TB -1.5,-162,1.6173,fanduel,
TOR @ TB,run_line,TOR +1.5,+122,2.22,fanduel,
TOR @ TB,totals,OVER 6.5,-152,1.6579,fanduel,56.3%
TOR @ TB,totals,UNDER 6.5,+114,2.14,fanduel,43.7%
BAL @ NYY,moneyline,BAL,+630,7.3,fanduel,12.9%
BAL @ NYY,moneyline,NYY,-1200,1.0833,fanduel,87.1%
BAL @ NYY,run_line,BAL +3.5,-102,1.9804,fanduel,
BAL @ NYY,run_line,NYY -3.5,-130,1.7692,fanduel,
BAL @ NYY,totals,OVER 8.5,-110,1.9091,fanduel,49.0%
BAL @ NYY,totals,UNDER 8.5,-120,1.8333,fanduel,51.0%
CLE @ KC,moneyline,CLE,-280,1.3571,fanduel,68.9%
CLE @ KC,moneyline,KC,+200,3.0,fanduel,31.1%
CLE @ KC,run_line,CLE -1.5,-152,1.6579,fanduel,
CLE @ KC,run_line,KC +1.5,+114,2.14,fanduel,
CLE @ KC,totals,OVER 9.5,+104,2.04,fanduel,45.8%
CLE @ KC,totals,UNDER 9.5,-138,1.7246,fanduel,54.2%
MIL @ STL,moneyline,MIL,-132,1.7576,fanduel,53.7%
MIL @ STL,moneyline,STL,+104,2.04,fanduel,46.3%
MIL @ STL,run_line,MIL -1.5,+132,2.32,fanduel,
MIL @ STL,run_line,STL +1.5,-178,1.5618,fanduel,
MIL @ STL,totals,OVER 7.5,-104,1.9615,fanduel,47.6%
MIL @ STL,totals,UNDER 7.5,-128,1.7812,fanduel,52.4%
LAD @ HOU,moneyline,LAD,-200,1.5,fanduel,64.1%
LAD @ HOU,moneyline,HOU,+168,2.68,fanduel,35.9%
LAD @ HOU,run_line,HOU +1.5,+102,2.02,fanduel,
LAD @ HOU,run_line,LAD -1.5,-122,1.8197,fanduel,
LAD @ HOU,totals,OVER 9.0,-115,1.8696,fanduel,51.1%
LAD @ HOU,totals,UNDER 9.0,-105,1.9524,fanduel,48.9%
CIN @ CHC,moneyline,CIN,+180,2.8,fanduel,34.4%
CIN @ CHC,moneyline,CHC,-215,1.4651,fanduel,65.6%
CIN @ CHC,run_line,CHC -1.5,-118,1.8475,fanduel,
CIN @ CHC,run_line,CIN +1.5,-102,1.9804,fanduel,
CIN @ CHC,totals,OVER 11.5,-110,1.9091,fanduel,50.0%
CIN @ CHC,totals,UNDER 11.5,-110,1.9091,fanduel,50.0%
CWS @ LAA,moneyline,CWS,+134,2.34,fanduel,41.1%
CWS @ LAA,moneyline,LAA,-158,1.6329,fanduel,58.9%
CWS @ LAA,run_line,CWS +1.5,-162,1.6173,fanduel,
CWS @ LAA,run_line,LAA -1.5,+134,2.34,fanduel,
CWS @ LAA,totals,OVER 7.5,-120,1.8333,fanduel,51.9%
CWS @ LAA,totals,UNDER 7.5,-102,1.9804,fanduel,48.1%
ATL @ SEA,moneyline,ATL,+116,2.16,fanduel,44.5%
ATL @ SEA,moneyline,SEA,-136,1.7353,fanduel,55.5%
ATL @ SEA,run_line,ATL +1.5,-196,1.5102,fanduel,
ATL @ SEA,run_line,SEA -1.5,+162,2.62,fanduel,
ATL @ SEA,totals,OVER 7.5,-122,1.8197,fanduel,52.4%
ATL @ SEA,totals,UNDER 7.5,+100,2.0,fanduel,47.6%
SD @ SF,moneyline,SD,-136,1.7353,fanduel,55.5%
SD @ SF,moneyline,SF,+116,2.16,fanduel,44.5%
SD @ SF,run_line,SD -1.5,+128,2.28,fanduel,
SD @ SF,run_line,SF +1.5,-154,1.6494,fanduel,
SD @ SF,totals,OVER 8.0,-110,1.9091,fanduel,50.0%
SD @ SF,totals,UNDER 8.0,-110,1.9091,fanduel,50.0%
ATH @ PHI,moneyline,ATH,+158,2.58,fanduel,37.3%
ATH @ PHI,moneyline,PHI,-188,1.5319,fanduel,62.7%
ATH @ PHI,run_line,ATH +1.5,-134,1.7463,fanduel,
ATH @ PHI,run_line,PHI -1.5,+112,2.12,fanduel,
ATH @ PHI,totals,OVER 8.5,-122,1.8197,fanduel,52.4%
ATH @ PHI,totals,UNDER 8.5,+100,2.0,fanduel,47.6%
BAL @ MIA,moneyline,BAL,+100,2.0,fanduel,48.0%
BAL @ MIA,moneyline,MIA,-118,1.8475,fanduel,52.0%
BAL @ MIA,run_line,BAL -1.5,+164,2.64,fanduel,
BAL @ MIA,run_line,MIA +1.5,-200,1.5,fanduel,
BAL @ MIA,totals,OVER 8.5,-110,1.9091,fanduel,50.0%
BAL @ MIA,totals,UNDER 8.5,-110,1.9091,fanduel,50.0%
BOS @ DET,moneyline,BOS,+152,2.52,fanduel,38.2%
BOS @ DET,moneyline,DET,-180,1.5556,fanduel,61.8%
BOS @ DET,run_line,BOS +1.5,-138,1.7246,fanduel,
BOS @ DET,run_line,DET -1.5,+115,2.15,fanduel,
BOS @ DET,totals,OVER 7.5,-122,1.8197,fanduel,52.4%
BOS @ DET,totals,UNDER 7.5,+100,2.0,fanduel,47.6%
TOR @ TB,moneyline,TOR,-102,1.9804,fanduel,48.5%
TOR @ TB,moneyline,TB,-116,1.8621,fanduel,51.5%
TOR @ TB,run_line,TB +1.5,-205,1.4878,fanduel,
TOR @ TB,run_line,TOR -1.5,+172,2.72,fanduel,
TOR @ TB,totals,OVER 7.0,-110,1.9091,fanduel,50.0%
