section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,away_sp_factor,home_sp_factor,f5_away_proj,f5_home_proj,f5_total_proj,f5_pick,f5_win_prob,model_prob,fair_odds_dec,kelly_pct,kelly_advice,status_reason,f5_away,f5_home,f5_total,f5_winner
projection,2026-05-07,TEX,NYY,PASS,53.6,,,,,2.11,2.54,4.65,NYY,0.55,0.536,1.818,2.75,1u,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,MIN,WSH,PASS,50.6,,,,,2.78,2.85,5.63,WSH,0.508,0.5058,1.969,0.0,PASS,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,CLE,KC,PASS,52.5,,,,,2.22,2.52,4.74,KC,0.535,0.5252,1.869,1.17,0.5u,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,CIN,CHC,PASS,53.2,,,,,2.06,2.44,4.49,CHC,0.545,0.5324,1.835,2.22,1u,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,NYM,COL,PASS,51.7,,,,,3.07,2.86,5.93,NYM,0.524,0.5173,1.908,0.02,PASS,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,PIT,AZ,PASS,54.7,,,,,2.65,2.1,4.74,PIT,0.565,0.5468,1.77,4.32,2u,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,ATH,PHI,PASS,51.8,,,,,2.54,2.32,4.86,ATH,0.525,0.518,1.905,0.12,PASS,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,BAL,MIA,PASS,52.8,,,,,2.2,2.53,4.73,MIA,0.539,0.5281,1.855,1.59,1u,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,TB,BOS,PASS,50.4,,,,,2.48,2.53,5.01,BOS,0.506,0.5043,1.976,0.0,PASS,Market gated off (Brier 0.2472),,,,
projection,2026-05-07,STL,SD,PASS,51.8,,,,,2.24,2.45,4.68,SD,0.525,0.518,1.905,0.12,PASS,Market gated off (Brier 0.2472),,,,
backfill,2026-05-06,TOR,TB,,,,,,,,,,,,,,,,,0,2,2,TB
backfill,2026-05-06,MIL,STL,,,,,,,,,,,,,,,,,5,0,5,MIL
backfill,2026-05-06,LAD,HOU,,,,,,,,,,,,,,,,,10,1,11,LAD
backfill,2026-05-06,SD,SF,,,,,,,,,,,,,,,,,1,1,2,PUSH
backfill,2026-05-06,CWS,LAA,,,,,,,,,,,,,,,,,1,7,8,LAA
backfill,2026-05-06,ATL,SEA,,,,,,,,,,,,,,,,,0,1,1,SEA
backfill,2026-05-06,BOS,DET,,,,,,,,,,,,,,,,,4,0,4,BOS
backfill,2026-05-06,ATH,PHI,,,,,,,,,,,,,,,,,2,1,3,ATH
backfill,2026-05-06,BAL,MIA,,,,,,,,,,,,,,,,,5,3,8,BAL
backfill,2026-05-06,MIN,WSH,,,,,,,,,,,,,,,,,2,3,5,WSH
backfill,2026-05-06,TEX,NYY,,,,,,,,,,,,,,,,,6,0,6,TEX
backfill,2026-05-06,CIN,CHC,,,,,,,,,,,,,,,,,2,4,6,CHC
backfill,2026-05-06,CLE,KC,,,,,,,,,,,,,,,,,2,1,3,CLE
backfill,2026-05-06,NYM,COL,,,,,,,,,,,,,,,,,4,0,4,NYM
backfill,2026-05-06,PIT,AZ,,,,,,,,,,,,,,,,,1,0,1,PIT
backfill,2026-05-05,BOS,DET,,,,,,,,,,,,,,,,,10,3,13,BOS
backfill,2026-05-05,TOR,TB,,,,,,,,,,,,,,,,,3,2,5,TOR
backfill,2026-05-05,ATH,PHI,,,,,,,,,,,,,,,,,0,1,1,PHI
backfill,2026-05-05,BAL,MIA,,,,,,,,,,,,,,,,,7,4,11,BAL
backfill,2026-05-05,MIN,WSH,,,,,,,,,,,,,,,,,6,2,8,MIN
backfill,2026-05-05,TEX,NYY,,,,,,,,,,,,,,,,,3,3,6,PUSH
backfill,2026-05-05,CIN,CHC,,,,,,,,,,,,,,,,,1,0,1,CIN
backfill,2026-05-05,CLE,KC,,,,,,,,,,,,,,,,,3,4,7,KC
backfill,2026-05-05,LAD,HOU,,,,,,,,,,,,,,,,,0,2,2,HOU
backfill,2026-05-05,CWS,LAA,,,,,,,,,,,,,,,,,2,4,6,LAA
backfill,2026-05-05,PIT,AZ,,,,,,,,,,,,,,,,,0,2,2,AZ
backfill,2026-05-05,ATL,SEA,,,,,,,,,,,,,,,,,2,2,4,PUSH
backfill,2026-05-05,SD,SF,,,,,,,,,,,,,,,,,7,4,11,SD
backfill,2026-05-04,NYM,COL,,,,,,,,,,,,,,,,,0,0,0,PUSH
backfill,2026-05-04,BOS,DET,,,,,,,,,,,,,,,,,0,0,0,PUSH
backfill,2026-05-04,TOR,TB,,,,,,,,,,,,,,,,,1,3,4,TB
backfill,2026-05-04,PHI,MIA,,,,,,,,,,,,,,,,,1,0,1,PHI
backfill,2026-05-04,BAL,NYY,,,,,,,,,,,,,,,,,0,3,3,NYY
backfill,2026-05-04,CIN,CHC,,,,,,,,,,,,,,,,,3,3,6,PUSH
backfill,2026-05-04,CLE,KC,,,,,,,,,,,,,,,,,2,4,6,KC
backfill,2026-05-04,MIL,STL,,,,,,,,,,,,,,,,,0,4,4,STL
backfill,2026-05-04,LAD,HOU,,,,,,,,,,,,,,,,,8,3,11,LAD
backfill,2026-05-04,CWS,LAA,,,,,,,,,,,,,,,,,5,0,5,CWS
backfill,2026-05-04,ATL,SEA,,,,,,,,,,,,,,,,,1,0,1,ATL
backfill,2026-05-04,SD,SF,,,,,,,,,,,,,,,,,1,2,3,SF
backfill,2026-05-03,TOR,MIN,,,,,,,,,,,,,,,,,0,4,4,MIN
backfill,2026-05-03,HOU,BOS,,,,,,,,,,,,,,,,,0,1,1,BOS
backfill,2026-05-03,CIN,PIT,,,,,,,,,,,,,,,,,0,0,0,PUSH
backfill,2026-05-03,BAL,NYY,,,,,,,,,,,,,,,,,3,3,6,PUSH
backfill,2026-05-03,MIL,WSH,,,,,,,,,,,,,,,,,1,2,3,WSH
backfill,2026-05-03,SF,TB,,,,,,,,,,,,,,,,,1,0,1,SF
backfill,2026-05-03,PHI,MIA,,,,,,,,,,,,,,,,,7,0,7,PHI
backfill,2026-05-03,LAD,STL,,,,,,,,,,,,,,,,,3,0,3,LAD
backfill,2026-05-03,AZ,CHC,,,,,,,,,,,,,,,,,2,6,8,CHC
backfill,2026-05-03,ATL,COL,,,,,,,,,,,,,,,,,6,5,11,ATL
backfill,2026-05-03,CLE,ATH,,,,,,,,,,,,,,,,,1,4,5,ATH
backfill,2026-05-03,NYM,LAA,,,,,,,,,,,,,,,,,2,1,3,NYM
backfill,2026-05-03,KC,SEA,,,,,,,,,,,,,,,,,3,1,4,KC
backfill,2026-05-03,CWS,SD,,,,,,,,,,,,,,,,,1,3,4,SD
backfill,2026-05-03,TEX,DET,,,,,,,,,,,,,,,,,0,2,2,DET
backfill,2026-05-02,BAL,NYY,,,,,,,,,,,,,,,,,1,6,7,NYY
backfill,2026-05-02,TOR,MIN,,,,,,,,,,,,,,,,,2,4,6,MIN
