section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,f1_total_proj,nrfi_prob,yrfi_prob,nrfi_pick,model_prob,fair_odds_dec,kelly_pct,kelly_advice,status_reason,f1_away,f1_home,f1_total,nrfi_yrfi
projection,2026-05-07,TEX,NYY,PASS,54.4,,,1.17,0.448,0.552,YRFI,0.5442,1.812,2.96,1u,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,MIN,WSH,PASS,52.7,,,1.01,0.532,0.468,NRFI,0.5272,1.88,0.86,0.5u,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,CLE,KC,PASS,54.0,,,1.02,0.547,0.453,NRFI,0.54,1.828,2.43,1u,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,CIN,CHC,PASS,50.3,,,1.19,0.504,0.496,NRFI,0.5034,1.984,0.0,PASS,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,NYM,COL,PASS,50.4,,,1.15,0.495,0.505,YRFI,0.5042,1.98,0.0,PASS,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,PIT,AZ,PASS,50.8,,,1.12,0.509,0.491,NRFI,0.5077,1.965,0.0,PASS,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,ATH,PHI,PASS,50.3,,,1.19,0.503,0.497,NRFI,0.5026,1.988,0.0,PASS,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,BAL,MIA,PASS,50.4,,,1.27,0.495,0.505,YRFI,0.5042,1.98,0.0,PASS,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,TB,BOS,PASS,56.5,,,0.95,0.576,0.424,NRFI,0.5646,1.736,5.0,2u,Market gated off (ROI -2.16%),,,,
projection,2026-05-07,STL,SD,PASS,55.3,,,1.01,0.562,0.438,NRFI,0.5527,1.779,4.01,2u,Market gated off (ROI -2.16%),,,,
backfill,2026-05-06,TOR,TB,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,MIL,STL,,,,,,,,,,,,,,4,0,4,YRFI
backfill,2026-05-06,LAD,HOU,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-06,SD,SF,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,CWS,LAA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,ATL,SEA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,BOS,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,ATH,PHI,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,BAL,MIA,,,,,,,,,,,,,,3,3,6,YRFI
backfill,2026-05-06,MIN,WSH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,TEX,NYY,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-06,CIN,CHC,,,,,,,,,,,,,,1,2,3,YRFI
backfill,2026-05-06,CLE,KC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-06,NYM,COL,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-06,PIT,AZ,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-05,BOS,DET,,,,,,,,,,,,,,3,2,5,YRFI
backfill,2026-05-05,TOR,TB,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-05,ATH,PHI,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-05,BAL,MIA,,,,,,,,,,,,,,3,1,4,YRFI
backfill,2026-05-05,MIN,WSH,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-05,TEX,NYY,,,,,,,,,,,,,,3,1,4,YRFI
backfill,2026-05-05,CIN,CHC,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-05,CLE,KC,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-05,LAD,HOU,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-05,CWS,LAA,,,,,,,,,,,,,,2,2,4,YRFI
backfill,2026-05-05,PIT,AZ,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-05,ATL,SEA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-05,SD,SF,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-04,NYM,COL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-04,BOS,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-04,TOR,TB,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-05-04,PHI,MIA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-04,BAL,NYY,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-04,CIN,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-04,CLE,KC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-04,MIL,STL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-04,LAD,HOU,,,,,,,,,,,,,,1,2,3,YRFI
backfill,2026-05-04,CWS,LAA,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-05-04,ATL,SEA,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-04,SD,SF,,,,,,,,,,,,,,1,2,3,YRFI
backfill,2026-05-03,TOR,MIN,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-03,HOU,BOS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,CIN,PIT,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,BAL,NYY,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-03,MIL,WSH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,SF,TB,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-03,PHI,MIA,,,,,,,,,,,,,,6,0,6,YRFI
backfill,2026-05-03,LAD,STL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,AZ,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,ATL,COL,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-03,CLE,ATH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,NYM,LAA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-03,KC,SEA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,CWS,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-03,TEX,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,BAL,NYY,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,TOR,MIN,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-02,AZ,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,CLE,ATH,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-02,CIN,PIT,,,,,,,,,,,,,,2,5,7,YRFI
backfill,2026-05-02,MIL,WSH,,,,,,,,,,,,,,3,0,3,YRFI
backfill,2026-05-02,HOU,BOS,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-02,PHI,MIA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,SF,TB,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,LAD,STL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,TEX,DET,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-05-02,ATL,COL,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-05-02,CWS,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-02,NYM,LAA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-02,KC,SEA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-01,AZ,CHC,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-05-01,TEX,DET,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-01,CIN,PIT,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-01,MIL,WSH,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-05-01,BAL,NYY,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-01,HOU,BOS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-01,SF,TB,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-01,PHI,MIA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-05-01,TOR,MIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-01,LAD,STL,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-05-01,ATL,COL,,,,,,,,,,,,,,0,5,5,YRFI
backfill,2026-05-01,NYM,LAA,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-01,CLE,ATH,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-05-01,CWS,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-05-01,KC,SEA,,,,,,,,,,,,,,4,2,6,YRFI
backfill,2026-04-30,DET,ATL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-30,HOU,BAL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-30,HOU,BAL,,,,,,,,,,,,,,5,0,5,YRFI
backfill,2026-04-30,STL,PIT,,,,,,,,,,,,,,3,0,3,YRFI
backfill,2026-04-30,SF,PHI,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-30,SF,PHI,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-30,COL,CIN,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-30,WSH,NYM,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-30,AZ,MIL,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-30,KC,ATH,,,,,,,,,,,,,,1,1,2,YRFI
backfill,2026-04-30,TOR,MIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,TB,CLE,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,LAA,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,SEA,MIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,NYY,TEX,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,BOS,TOR,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-29,MIA,LAD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,CHC,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,COL,CIN,,,,,,,,,,,,,,3,0,3,YRFI
backfill,2026-04-29,STL,PIT,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-29,WSH,NYM,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-29,DET,ATL,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-29,AZ,MIL,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-29,KC,ATH,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-28,TB,CLE,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,HOU,BAL,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-28,COL,CIN,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-28,STL,PIT,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,SF,PHI,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,BOS,TOR,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,WSH,NYM,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-28,DET,ATL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,SEA,MIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,LAA,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,AZ,MIL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,NYY,TEX,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-28,KC,ATH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,CHC,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-28,MIA,LAD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-27,TB,CLE,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-27,STL,PIT,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-27,BOS,TOR,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-27,SEA,MIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-27,LAA,CWS,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-27,NYY,TEX,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-27,CHC,SD,,,,,,,,,,,,,,0,3,3,YRFI
