game,market,side,american,decimal,book,vig_free_pct
TEX @ NYY,run_line,NYY -6.5,+250,3.5,fanduel,
TEX @ NYY,run_line,TEX +6.5,-360,1.2778,fanduel,
TEX @ NYY,totals,OVER 10.5,+102,2.02,fanduel,46.2%
TEX @ NYY,totals,UNDER 10.5,-136,1.7353,fanduel,53.8%
MIN @ WSH,moneyline,MIN,-111,1.9009,fanduel,49.6%
MIN @ WSH,moneyline,WSH,-115,1.8696,fanduel,50.4%
MIN @ WSH,run_line,MIN +1.5,-500,1.2,fanduel,
MIN @ WSH,run_line,WSH -1.5,+320,4.2,fanduel,
MIN @ WSH,totals,OVER 12.5,-186,1.5376,fanduel,60.8%
MIN @ WSH,totals,UNDER 12.5,+138,2.38,fanduel,39.2%
CLE @ KC,moneyline,CLE,-720,1.1389,fanduel,82.8%
CLE @ KC,moneyline,KC,+450,5.5,fanduel,17.2%
CLE @ KC,run_line,CLE -3.5,-114,1.8772,fanduel,
CLE @ KC,run_line,KC +3.5,-114,1.8772,fanduel,
CLE @ KC,totals,OVER 9.5,-118,1.8475,fanduel,50.6%
CLE @ KC,totals,UNDER 9.5,-112,1.8929,fanduel,49.4%
CIN @ CHC,moneyline,CIN,+480,5.8,fanduel,16.3%
CIN @ CHC,moneyline,CHC,-770,1.1299,fanduel,83.7%
CIN @ CHC,run_line,CHC -2.5,-144,1.6944,fanduel,
CIN @ CHC,run_line,CIN +2.5,+108,2.08,fanduel,
CIN @ CHC,totals,OVER 7.5,+104,2.04,fanduel,45.8%
CIN @ CHC,totals,UNDER 7.5,-138,1.7246,fanduel,54.2%
NYM @ COL,moneyline,NYM,-148,1.6757,fanduel,56.3%
NYM @ COL,moneyline,COL,+116,2.16,fanduel,43.7%
NYM @ COL,run_line,COL +1.5,-152,1.6579,fanduel,
NYM @ COL,run_line,NYM -1.5,+114,2.14,fanduel,
NYM @ COL,totals,OVER 9.5,-108,1.9259,fanduel,48.6%
NYM @ COL,totals,UNDER 9.5,-122,1.8197,fanduel,51.4%
PIT @ AZ,moneyline,PIT,-104,1.9615,fanduel,49.1%
PIT @ AZ,moneyline,AZ,-112,1.8929,fanduel,50.9%
PIT @ AZ,run_line,AZ +1.5,-194,1.5155,fanduel,
PIT @ AZ,run_line,PIT -1.5,+162,2.62,fanduel,
PIT @ AZ,totals,OVER 8.5,-120,1.8333,fanduel,51.9%
PIT @ AZ,totals,UNDER 8.5,-102,1.9804,fanduel,48.1%
ATH @ PHI,moneyline,ATH,+110,2.1,fanduel,45.7%
ATH @ PHI,moneyline,PHI,-130,1.7692,fanduel,54.3%
ATH @ PHI,run_line,ATH +1.5,-184,1.5435,fanduel,
ATH @ PHI,run_line,PHI -1.5,+152,2.52,fanduel,
ATH @ PHI,totals,OVER 9.0,-115,1.8696,fanduel,51.1%
ATH @ PHI,totals,UNDER 9.0,-105,1.9524,fanduel,48.9%
BAL @ MIA,moneyline,BAL,+110,2.1,fanduel,45.7%
BAL @ MIA,moneyline,MIA,-130,1.7692,fanduel,54.3%
BAL @ MIA,run_line,BAL +1.5,-192,1.5208,fanduel,
BAL @ MIA,run_line,MIA -1.5,+158,2.58,fanduel,
BAL @ MIA,totals,OVER 8.5,-102,1.9804,fanduel,48.1%
BAL @ MIA,totals,UNDER 8.5,-120,1.8333,fanduel,51.9%
TB @ BOS,moneyline,TB,-102,1.9804,fanduel,48.5%
TB @ BOS,moneyline,BOS,-116,1.8621,fanduel,51.5%
TB @ BOS,run_line,BOS +1.5,-192,1.5208,fanduel,
TB @ BOS,run_line,TB -1.5,+158,2.58,fanduel,
TB @ BOS,totals,OVER 8.5,-118,1.8475,fanduel,51.5%
TB @ BOS,totals,UNDER 8.5,-104,1.9615,fanduel,48.5%
STL @ SD,moneyline,STL,+144,2.44,fanduel,39.3%
STL @ SD,moneyline,SD,-172,1.5814,fanduel,60.7%
STL @ SD,run_line,SD -1.5,+122,2.22,fanduel,
STL @ SD,run_line,STL +1.5,-146,1.6849,fanduel,
STL @ SD,totals,OVER 8.0,-110,1.9091,fanduel,50.0%
STL @ SD,totals,UNDER 8.0,-110,1.9091,fanduel,50.0%
HOU @ CIN,moneyline,HOU,+108,2.08,fanduel,46.3%
HOU @ CIN,moneyline,CIN,-126,1.7937,fanduel,53.7%
HOU @ CIN,run_line,CIN -1.5,+162,2.62,fanduel,
HOU @ CIN,run_line,HOU +1.5,-196,1.5102,fanduel,
HOU @ CIN,totals,OVER 9.5,+102,2.02,fanduel,47.2%
HOU @ CIN,totals,UNDER 9.5,-124,1.8065,fanduel,52.8%
COL @ PHI,moneyline,COL,+172,2.72,fanduel,35.4%
COL @ PHI,moneyline,PHI,-205,1.4878,fanduel,64.6%
COL @ PHI,run_line,COL +1.5,-140,1.7143,fanduel,
COL @ PHI,run_line,PHI -1.5,+116,2.16,fanduel,
COL @ PHI,totals,OVER 7.5,-122,1.8197,fanduel,52.4%
COL @ PHI,totals,UNDER 7.5,+100,2.0,fanduel,47.6%
LAA @ TOR,moneyline,LAA,+136,2.36,fanduel,40.7%
LAA @ TOR,moneyline,TOR,-162,1.6173,fanduel,59.3%
LAA @ TOR,run_line,LAA +1.5,-170,1.5882,fanduel,
LAA @ TOR,run_line,TOR -1.5,+140,2.4,fanduel,
LAA @ TOR,totals,OVER 7.5,-120,1.8333,fanduel,51.9%
LAA @ TOR,totals,UNDER 7.5,-102,1.9804,fanduel,48.1%
TB @ BOS,moneyline,TB,+122,2.22,fanduel,43.3%
TB @ BOS,moneyline,BOS,-144,1.6944,fanduel,56.7%
TB @ BOS,run_line,BOS -1.5,+142,2.42,fanduel,
TB @ BOS,run_line,TB +1.5,-172,1.5814,fanduel,
TB @ BOS,totals,OVER 8.5,-115,1.8696,fanduel,51.1%
TB @ BOS,totals,UNDER 8.5,-105,1.9524,fanduel,48.9%
WSH @ MIA,moneyline,WSH,+104,2.04,fanduel,47.1%
WSH @ MIA,moneyline,MIA,-122,1.8197,fanduel,52.9%
WSH @ MIA,run_line,MIA -1.5,+172,2.72,fanduel,
WSH @ MIA,run_line,WSH +1.5,-210,1.4762,fanduel,
WSH @ MIA,totals,OVER 8.0,-115,1.8696,fanduel,51.1%
WSH @ MIA,totals,UNDER 8.0,-105,1.9524,fanduel,48.9%
MIN @ CLE,moneyline,MIN,+118,2.18,fanduel,44.2%
MIN @ CLE,moneyline,CLE,-138,1.7246,fanduel,55.8%
MIN @ CLE,run_line,CLE -1.5,+158,2.58,fanduel,
MIN @ CLE,run_line,MIN +1.5,-192,1.5208,fanduel,
MIN @ CLE,totals,OVER 7.5,-124,1.8065,fanduel,52.8%
MIN @ CLE,totals,UNDER 7.5,+102,2.02,fanduel,47.2%
SEA @ CWS,moneyline,SEA,-138,1.7246,fanduel,55.8%
SEA @ CWS,moneyline,CWS,+118,2.18,fanduel,44.2%
SEA @ CWS,run_line,CWS +1.5,-152,1.6579,fanduel,
SEA @ CWS,run_line,SEA -1.5,+126,2.26,fanduel,
SEA @ CWS,totals,OVER 7.5,-124,1.8065,fanduel,52.8%
SEA @ CWS,totals,UNDER 7.5,+102,2.02,fanduel,47.2%
DET @ KC,moneyline,DET,+112,2.12,fanduel,45.3%
DET @ KC,moneyline,KC,-132,1.7576,fanduel,54.7%
DET @ KC,run_line,DET +1.5,-194,1.5155,fanduel,
DET @ KC,run_line,KC -1.5,+160,2.6,fanduel,
DET @ KC,totals,OVER 8.5,-115,1.8696,fanduel,51.1%
DET @ KC,totals,UNDER 8.5,-105,1.9524,fanduel,48.9%
NYY @ MIL,moneyline,NYY,-138,1.7246,fanduel,55.8%
NYY @ MIL,moneyline,MIL,+118,2.18,fanduel,44.2%
NYY @ MIL,run_line,MIL +1.5,-152,1.6579,fanduel,
NYY @ MIL,run_line,NYY -1.5,+126,2.26,fanduel,
NYY @ MIL,totals,OVER 7.0,-110,1.9091,fanduel,50.0%
