section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,away_sp_factor,home_sp_factor,away_bp_factor,home_bp_factor,rl_fav,rl_margin_proj,rl_cover_prob,rl_fav_covers_1_5,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,status_reason,away_score,home_score,margin,favorite,fav_covers_1_5
projection,2026-05-07,TEX,NYY,PASS,55.2,,,,,,,NYY,0.88,0.555,NO,0.5523,1.802,1.641,-156,fanduel,-9.38,0.0,PASS,Edge -9.38% below +3.00% threshold,,,,,
projection,2026-05-07,MIN,WSH,PASS,56.5,,,,,,,WSH,0.72,0.569,NO,0.5655,1.757,,,,,4.74,2u,No market price available,,,,,
projection,2026-05-07,CLE,KC,PASS,58.6,,,,,,,KC,0.48,0.59,NO,0.5855,1.695,1.6098,-164,fanduel,-5.75,0.0,PASS,Edge -5.75% below +3.00% threshold,,,,,
projection,2026-05-07,CIN,CHC,PASS,58.0,,,,,,,CHC,0.55,0.584,NO,0.5798,1.712,1.7692,-130,fanduel,2.58,2.16,1u,Edge +2.58% below +3.00% threshold,,,,,
projection,2026-05-07,NYM,COL,PLAY,59.9,,,,,,,NYM,0.33,0.604,NO,0.5988,1.656,1.7812,-128,fanduel,6.66,4.85,2u,,,,,,
projection,2026-05-07,PIT,AZ,PASS,58.5,,,,,,,PIT,0.49,0.589,NO,0.5846,1.698,1.5155,-194,fanduel,-11.41,0.0,PASS,Edge -11.41% below +3.00% threshold,,,,,
projection,2026-05-07,ATH,PHI,PASS,59.0,,,,,,,PHI,0.42,0.595,NO,0.5902,1.681,1.5495,-182,fanduel,-8.54,0.0,PASS,Edge -8.54% below +3.00% threshold,,,,,
projection,2026-05-07,BAL,MIA,PASS,58.6,,,,,,,MIA,0.49,0.59,NO,0.5855,1.695,1.4878,-205,fanduel,-12.89,0.0,PASS,Edge -12.89% below +3.00% threshold,,,,,
projection,2026-05-07,TB,BOS,PASS,62.2,,,,,,,BOS,0.04,0.628,NO,0.6216,1.592,,,,,5.0,2u,No market price available,,,,,
projection,2026-05-07,STL,SD,PASS,60.0,,,,,,,SD,0.31,0.605,NO,0.5998,1.653,1.6944,-144,fanduel,1.62,1.81,1u,Edge +1.62% below +3.00% threshold,,,,,
backfill,2026-05-06,TOR,TB,,,,,,,,,,,,,,,,,,,,,,0,3,3,TB,YES
backfill,2026-05-06,MIL,STL,,,,,,,,,,,,,,,,,,,,,,6,2,4,MIL,YES
backfill,2026-05-06,LAD,HOU,,,,,,,,,,,,,,,,,,,,,,12,2,10,LAD,YES
backfill,2026-05-06,SD,SF,,,,,,,,,,,,,,,,,,,,,,5,1,4,SD,YES
backfill,2026-05-06,CWS,LAA,,,,,,,,,,,,,,,,,,,,,,2,8,6,LAA,YES
backfill,2026-05-06,ATL,SEA,,,,,,,,,,,,,,,,,,,,,,1,3,2,SEA,YES
backfill,2026-05-06,BOS,DET,,,,,,,,,,,,,,,,,,,,,,4,0,4,BOS,YES
backfill,2026-05-06,ATH,PHI,,,,,,,,,,,,,,,,,,,,,,3,6,3,PHI,YES
backfill,2026-05-06,BAL,MIA,,,,,,,,,,,,,,,,,,,,,,7,4,3,BAL,YES
backfill,2026-05-06,MIN,WSH,,,,,,,,,,,,,,,,,,,,,,2,15,13,WSH,YES
backfill,2026-05-06,TEX,NYY,,,,,,,,,,,,,,,,,,,,,,6,1,5,TEX,YES
backfill,2026-05-06,CIN,CHC,,,,,,,,,,,,,,,,,,,,,,6,7,1,CHC,NO
backfill,2026-05-06,CLE,KC,,,,,,,,,,,,,,,,,,,,,,3,1,2,CLE,YES
backfill,2026-05-06,NYM,COL,,,,,,,,,,,,,,,,,,,,,,10,5,5,NYM,YES
backfill,2026-05-06,PIT,AZ,,,,,,,,,,,,,,,,,,,,,,1,0,1,PIT,NO
backfill,2026-05-05,BOS,DET,,,,,,,,,,,,,,,,,,,,,,10,3,7,BOS,YES
backfill,2026-05-05,TOR,TB,,,,,,,,,,,,,,,,,,,,,,3,4,1,TB,NO
backfill,2026-05-05,ATH,PHI,,,,,,,,,,,,,,,,,,,,,,1,9,8,PHI,YES
backfill,2026-05-05,BAL,MIA,,,,,,,,,,,,,,,,,,,,,,9,7,2,BAL,YES
backfill,2026-05-05,MIN,WSH,,,,,,,,,,,,,,,,,,,,,,11,3,8,MIN,YES
backfill,2026-05-05,TEX,NYY,,,,,,,,,,,,,,,,,,,,,,4,7,3,NYY,YES
backfill,2026-05-05,CIN,CHC,,,,,,,,,,,,,,,,,,,,,,2,3,1,CHC,NO
backfill,2026-05-05,CLE,KC,,,,,,,,,,,,,,,,,,,,,,3,5,2,KC,YES
backfill,2026-05-05,LAD,HOU,,,,,,,,,,,,,,,,,,,,,,1,2,1,HOU,NO
backfill,2026-05-05,CWS,LAA,,,,,,,,,,,,,,,,,,,,,,3,4,1,LAA,NO
backfill,2026-05-05,PIT,AZ,,,,,,,,,,,,,,,,,,,,,,0,9,9,AZ,YES
backfill,2026-05-05,ATL,SEA,,,,,,,,,,,,,,,,,,,,,,3,2,1,ATL,NO
backfill,2026-05-05,SD,SF,,,,,,,,,,,,,,,,,,,,,,10,5,5,SD,YES
backfill,2026-05-04,NYM,COL,,,,,,,,,,,,,,,,,,,,,,4,2,2,NYM,YES
backfill,2026-05-04,BOS,DET,,,,,,,,,,,,,,,,,,,,,,5,4,1,BOS,NO
backfill,2026-05-04,TOR,TB,,,,,,,,,,,,,,,,,,,,,,1,5,4,TB,YES
backfill,2026-05-04,PHI,MIA,,,,,,,,,,,,,,,,,,,,,,1,0,1,PHI,NO
backfill,2026-05-04,BAL,NYY,,,,,,,,,,,,,,,,,,,,,,1,12,11,NYY,YES
backfill,2026-05-04,CIN,CHC,,,,,,,,,,,,,,,,,,,,,,4,5,1,CHC,NO
backfill,2026-05-04,CLE,KC,,,,,,,,,,,,,,,,,,,,,,2,6,4,KC,YES
backfill,2026-05-04,MIL,STL,,,,,,,,,,,,,,,,,,,,,,3,6,3,STL,YES
backfill,2026-05-04,LAD,HOU,,,,,,,,,,,,,,,,,,,,,,8,3,5,LAD,YES
backfill,2026-05-04,CWS,LAA,,,,,,,,,,,,,,,,,,,,,,6,0,6,CWS,YES
backfill,2026-05-04,ATL,SEA,,,,,,,,,,,,,,,,,,,,,,4,5,1,SEA,NO
backfill,2026-05-04,SD,SF,,,,,,,,,,,,,,,,,,,,,,2,3,1,SF,NO
backfill,2026-05-03,TOR,MIN,,,,,,,,,,,,,,,,,,,,,,3,4,1,MIN,NO
backfill,2026-05-03,HOU,BOS,,,,,,,,,,,,,,,,,,,,,,3,1,2,HOU,YES
backfill,2026-05-03,CIN,PIT,,,,,,,,,,,,,,,,,,,,,,0,1,1,PIT,NO
