section,date,team,opponent,status,conviction_pct,side,opp_sp_name,opp_sp_factor,opp_bp_factor,team_total_proj,pick_3.5,pick_4.5,kelly_line,model_prob,fair_odds_dec,kelly_pct,kelly_advice,status_reason,runs,result_3.5,result_4.5
projection,2026-05-06,TOR,TB,PASS,55.9,AWAY,,,,3.67,OVER,UNDER,UNDER 3.5,0.5592,1.743,5.0,2u,No market price available,,,
projection,2026-05-06,TB,TOR,PASS,60.2,HOME,,,,4.11,OVER,UNDER,UNDER 4.5,0.6024,1.593,5.0,2u,No market price available,,,
projection,2026-05-06,MIL,STL,PASS,58.1,AWAY,,,,4.77,OVER,OVER,OVER 3.5,0.5808,1.663,5.0,2u,No market price available,,,
projection,2026-05-06,STL,MIL,PASS,58.1,HOME,,,,4.77,OVER,OVER,OVER 3.5,0.5808,1.663,5.0,2u,No market price available,,,
projection,2026-05-06,LAD,HOU,PASS,66.2,AWAY,,,,5.45,OVER,OVER,OVER 3.5,0.6624,1.423,5.0,2u,No market price available,,,
projection,2026-05-06,HOU,LAD,PASS,61.8,HOME,,,,3.96,OVER,UNDER,UNDER 4.5,0.6184,1.543,5.0,2u,No market price available,,,
projection,2026-05-06,SD,SF,PASS,58.2,AWAY,,,,4.29,OVER,UNDER,UNDER 4.5,0.5824,1.658,5.0,2u,No market price available,,,
projection,2026-05-06,SF,SD,PASS,58.9,HOME,,,,3.43,UNDER,UNDER,UNDER 3.5,0.5888,1.637,5.0,2u,No market price available,,,
projection,2026-05-06,CWS,LAA,PASS,61.0,AWAY,,,,5.01,OVER,OVER,OVER 3.5,0.6104,1.567,5.0,2u,No market price available,,,
projection,2026-05-06,LAA,CWS,PASS,58.2,HOME,,,,4.3,OVER,UNDER,UNDER 4.5,0.5816,1.662,5.0,2u,No market price available,,,
projection,2026-05-06,ATL,SEA,PASS,56.6,AWAY,,,,4.43,OVER,UNDER,UNDER 4.5,0.5664,1.715,5.0,2u,No market price available,,,
projection,2026-05-06,SEA,ATL,PASS,60.5,HOME,,,,4.09,OVER,UNDER,UNDER 4.5,0.6048,1.586,5.0,2u,No market price available,,,
projection,2026-05-06,BOS,DET,PASS,55.5,AWAY,,,,4.53,OVER,OVER,UNDER 4.5,0.5552,1.758,4.73,2u,No market price available,,,
projection,2026-05-06,DET,BOS,PASS,60.3,HOME,,,,4.1,OVER,UNDER,UNDER 4.5,0.6032,1.589,5.0,2u,No market price available,,,
projection,2026-05-06,ATH,PHI,PASS,59.1,AWAY,,,,4.21,OVER,UNDER,UNDER 4.5,0.5912,1.628,5.0,2u,No market price available,,,
projection,2026-05-06,PHI,ATH,PASS,58.7,HOME,,,,4.82,OVER,OVER,OVER 3.5,0.5872,1.642,5.0,2u,No market price available,,,
projection,2026-05-06,BAL,MIA,PASS,59.0,AWAY,,,,4.22,OVER,UNDER,UNDER 4.5,0.5904,1.632,5.0,2u,No market price available,,,
projection,2026-05-06,MIA,BAL,PASS,55.8,HOME,,,,4.51,OVER,OVER,UNDER 4.5,0.5576,1.749,5.0,2u,No market price available,,,
projection,2026-05-06,MIN,WSH,PASS,69.7,AWAY,,,,5.77,OVER,OVER,OVER 3.5,0.6968,1.341,5.0,2u,No market price available,,,
projection,2026-05-06,WSH,MIN,PASS,62.6,HOME,,,,5.14,OVER,OVER,OVER 3.5,0.6264,1.52,5.0,2u,No market price available,,,
projection,2026-05-06,TEX,NYY,PASS,64.2,AWAY,,,,3.74,OVER,UNDER,UNDER 4.5,0.6416,1.478,5.0,2u,No market price available,,,
projection,2026-05-06,NYY,TEX,PASS,59.6,HOME,,,,4.89,OVER,OVER,OVER 3.5,0.596,1.613,5.0,2u,No market price available,,,
projection,2026-05-06,CIN,CHC,PASS,61.4,AWAY,,,,4.0,OVER,UNDER,UNDER 4.5,0.6144,1.556,5.0,2u,No market price available,,,
projection,2026-05-06,CHC,CIN,PASS,62.0,HOME,,,,5.09,OVER,OVER,OVER 3.5,0.62,1.537,5.0,2u,No market price available,,,
