section,date,matchup,starting_pitchers,bet_type,pick,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,portfolio_scaled_from,game_time
projection,2026-05-06,NYM@COL,,run_line,COL,0.6073,1.631,1.8475,-118,fanduel,12.21,5.0,2u,,2026-05-07T01:20:00Z
projection,2026-05-06,PIT@AZ,,totals,OVER 7.5,0.5943,1.638,1.8333,-120,fanduel,8.96,5.0,2u,,2026-05-07T01:40:00Z
backfill,2026-05-06,PIT@AZ,,moneyline,PIT,0.5396,1.767,1.7576,-132,fanduel,-5.16,0.0,PASS,,2026-05-07T01:40:00Z
backfill,2026-05-06,PIT@AZ,,run_line,AZ,0.576,1.724,1.641,-156,fanduel,-5.48,0.0,PASS,,2026-05-07T01:40:00Z
backfill,2026-05-06,CIN@CHC,,totals,OVER 8.0,0.5,2.0,1.8696,-115,fanduel,-6.52,0.0,PASS,,2026-05-06T23:40:00Z
backfill,2026-05-06,TEX@NYY,,moneyline,NYY,0.5858,1.555,1.5747,-174,fanduel,-7.75,1.09,0.5u,,2026-05-06T23:05:00Z
backfill,2026-05-06,CIN@CHC,,moneyline,CHC,0.5672,1.634,1.5952,-168,fanduel,-9.52,0.0,PASS,,2026-05-06T23:40:00Z
backfill,2026-05-06,ATH@PHI,,run_line,ATH,0.5712,1.739,1.5747,-174,fanduel,-10.05,0.0,PASS,,2026-05-06T22:40:00Z
backfill,2026-05-06,CIN@CHC,,run_line,CIN,0.5399,1.845,1.6579,-152,fanduel,-10.49,0.0,PASS,,2026-05-06T23:40:00Z
backfill,2026-05-06,TEX@NYY,,run_line,TEX,0.5142,1.942,1.7246,-138,fanduel,-11.31,0.0,PASS,,2026-05-06T23:05:00Z
backfill,2026-05-06,ATH@PHI,,moneyline,PHI,0.5438,1.745,1.5882,-170,fanduel,-13.63,0.0,PASS,,2026-05-06T22:40:00Z
backfill,2026-05-06,NYM@COL,,moneyline,NYM,0.515,1.905,1.6329,-158,fanduel,-15.91,0.0,PASS,,2026-05-07T01:20:00Z
backfill,2026-05-06,TOR@TB,,moneyline,TB,0.5294,1.821,,,,,2.64,1u,,2026-05-06T17:10:00Z
backfill,2026-05-06,MIL@STL,,moneyline,STL,0.5,2.0,,,,,0.0,PASS,,2026-05-06T17:15:00Z
backfill,2026-05-06,LAD@HOU,,moneyline,LAD,0.596,1.515,,,,,5.0,2u,,2026-05-06T18:10:00Z
backfill,2026-05-06,SD@SF,,moneyline,SD,0.557,1.681,,,,,5.0,2u,,2026-05-06T19:45:00Z
backfill,2026-05-06,CWS@LAA,,moneyline,CWS,0.5468,1.73,,,,,5.0,2u,,2026-05-06T20:07:00Z
backfill,2026-05-06,ATL@SEA,,moneyline,ATL,0.5222,1.862,,,,,1.38,0.5u,,2026-05-06T20:10:00Z
backfill,2026-05-06,TOR@TB,,run_line,TOR,0.5893,1.684,,,,,5.0,2u,,2026-05-06T17:10:00Z
backfill,2026-05-06,MIL@STL,,run_line,MIL,0.6254,1.582,,,,,5.0,2u,,2026-05-06T17:15:00Z
backfill,2026-05-06,LAD@HOU,,run_line,HOU,0.5,2.0,,,,,0.0,PASS,,2026-05-06T18:10:00Z
backfill,2026-05-06,SD@SF,,run_line,SF,0.5532,1.799,,,,,3.38,2u,,2026-05-06T19:45:00Z
backfill,2026-05-06,CWS@LAA,,run_line,LAA,0.5665,1.754,,,,,4.85,2u,,2026-05-06T20:07:00Z
backfill,2026-05-06,ATL@SEA,,run_line,SEA,0.5978,1.658,,,,,5.0,2u,,2026-05-06T20:10:00Z
backfill,2026-05-06,BOS@DET,,run_line,DET,0.5827,1.704,,,,,5.0,2u,,2026-05-06T22:40:00Z
backfill,2026-05-06,BAL@MIA,,run_line,BAL,0.6083,1.629,,,,,5.0,2u,,2026-05-06T22:40:00Z
backfill,2026-05-06,MIN@WSH,,run_line,WSH,0.5731,1.733,,,,,5.0,2u,,2026-05-06T22:45:00Z
backfill,2026-05-06,CLE@KC,,run_line,KC,0.6225,1.59,,,,,5.0,2u,,2026-05-06T23:40:00Z
backfill,2026-05-06,TOR@TB,,totals,UNDER 8.5,0.6037,1.609,,,,,5.0,2u,,2026-05-06T17:10:00Z
backfill,2026-05-06,MIL@STL,,totals,OVER 8.5,0.5476,1.8,,,,,3.33,2u,,2026-05-06T17:15:00Z
backfill,2026-05-06,LAD@HOU,,totals,UNDER 9.5,0.5484,1.796,,,,,3.45,2u,,2026-05-06T18:10:00Z
backfill,2026-05-06,SD@SF,,totals,UNDER 8.5,0.6054,1.602,,,,,5.0,2u,,2026-05-06T19:45:00Z
backfill,2026-05-06,ATL@SEA,,totals,UNDER 9.5,0.6165,1.57,,,,,5.0,2u,,2026-05-06T20:10:00Z
backfill,2026-05-06,TOR vs TB,,team_totals,UNDER 3.5,0.5592,1.743,,,,,5.0,2u,,2026-05-06T17:10:00Z
backfill,2026-05-06,TB vs TOR,,team_totals,UNDER 4.5,0.6024,1.593,,,,,5.0,2u,,2026-05-06T17:10:00Z
backfill,2026-05-06,MIL vs STL,,team_totals,OVER 3.5,0.5864,1.646,,,,,5.0,2u,,2026-05-06T17:15:00Z
backfill,2026-05-06,STL vs MIL,,team_totals,OVER 3.5,0.5872,1.642,,,,,5.0,2u,,2026-05-06T17:15:00Z
