section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,away_sp_factor,home_sp_factor,away_bp_factor,home_bp_factor,venue,temp_f,wind_mph,wind_dir,weather_factor,away_stars_present,home_stars_present,away_missing_stars,home_missing_stars,away_lineup_factor,home_lineup_factor,away_runs_proj,home_runs_proj,total_proj,pick_8.5,pick_9.0,pick_9.5,kelly_line,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,status_reason,total_runs,result_8.5,result_9.0,result_9.5
projection,2026-05-07,TEX,NYY,PLAY,56.0,,,,,,,,,,,,,,,,,,3.74,4.62,8.35,UNDER,UNDER,UNDER,UNDER 8.5,0.5595,1.755,1.9804,-102,fanduel,10.8,5.0,2u,,,,,
projection,2026-05-07,MIN,WSH,PASS,54.2,,,,,,,,,,,,,,,,,,4.89,5.62,10.51,OVER,OVER,OVER,OVER 9.0,0.5417,1.82,1.8696,-115,fanduel,1.27,1.55,1u,Edge +1.27% below +2.50% threshold,,,,
projection,2026-05-07,CLE,KC,PLAY,52.6,,,,,,,,,,,,,,,,,,4.14,4.62,8.76,OVER,UNDER,UNDER,UNDER 9.0,0.5263,1.885,2.0,100,fanduel,5.27,3.05,2u,,,,,
projection,2026-05-07,CIN,CHC,PLAY,56.1,,,,,,,,,,,,,,,,,,3.89,4.44,8.33,UNDER,UNDER,UNDER,UNDER 8.5,0.5612,1.749,1.9804,-102,fanduel,11.14,5.0,2u,,,,,
projection,2026-05-07,NYM,COL,PLAY,53.2,,,,,,,,,,,,,,,,,,5.44,5.11,10.55,OVER,OVER,OVER,UNDER 10.5,0.5323,1.86,1.9804,-102,fanduel,5.42,3.29,2u,,,,,
projection,2026-05-07,PIT,AZ,PASS,50.1,,,,,,,,,,,,,,,,,,4.78,4.29,9.08,OVER,OVER,UNDER,OVER 8.5,0.5009,1.996,1.8333,-120,fanduel,-8.18,0.0,PASS,Edge -8.18% below +2.50% threshold,,,,
projection,2026-05-07,ATH,PHI,PASS,42.4,,,,,,,,,,,,,,,,,,4.31,4.74,9.05,OVER,OVER,UNDER,OVER 9.0,0.4235,2.439,1.8696,-115,fanduel,-20.82,0.0,PASS,Edge -20.82% below +2.50% threshold,,,,
projection,2026-05-07,BAL,MIA,PASS,54.1,,,,,,,,,,,,,,,,,,4.05,4.53,8.58,OVER,UNDER,UNDER,UNDER 8.5,0.5408,1.825,1.8929,-112,fanduel,2.37,2.09,1u,Edge +2.37% below +2.50% threshold,,,,
projection,2026-05-07,TB,BOS,PASS,52.9,,,,,,,,,,,,,,,,,,4.34,4.38,8.72,OVER,UNDER,UNDER,UNDER 8.5,0.5289,1.871,1.9259,-108,fanduel,1.86,1.58,1u,Edge +1.86% below +2.50% threshold,,,,
projection,2026-05-07,STL,SD,PASS,47.4,,,,,,,,,,,,,,,,,,4.23,4.54,8.77,OVER,UNDER,UNDER,OVER 8.0,0.4745,2.126,1.9091,-110,fanduel,-9.41,0.0,PASS,Edge -9.41% below +2.50% threshold,,,,
backfill,2026-05-06,TOR,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-05-06,MIL,STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-05-06,LAD,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,OVER,OVER,OVER
backfill,2026-05-06,SD,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-05-06,CWS,LAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,OVER,OVER,OVER
backfill,2026-05-06,ATL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,UNDER,UNDER,UNDER
backfill,2026-05-06,BOS,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,UNDER,UNDER,UNDER
backfill,2026-05-06,ATH,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-05-06,BAL,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-05-06,MIN,WSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,OVER,OVER,OVER
backfill,2026-05-06,TEX,NYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-05-06,CIN,CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,OVER,OVER,OVER
backfill,2026-05-06,CLE,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,UNDER,UNDER,UNDER
backfill,2026-05-06,NYM,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-05-06,PIT,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UNDER,UNDER,UNDER
backfill,2026-05-05,BOS,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,OVER,OVER,OVER
backfill,2026-05-05,TOR,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-05-05,ATH,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,OVER,OVER,OVER
backfill,2026-05-05,BAL,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,OVER,OVER,OVER
backfill,2026-05-05,MIN,WSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,OVER,OVER,OVER
backfill,2026-05-05,TEX,NYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-05-05,CIN,CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-05-05,CLE,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-05-05,LAD,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-05-05,CWS,LAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER,UNDER,UNDER
backfill,2026-05-05,PIT,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-05-05,ATL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-05-05,SD,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-05-04,NYM,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-05-04,BOS,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-05-04,TOR,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-05-04,PHI,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UNDER,UNDER,UNDER
backfill,2026-05-04,BAL,NYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,OVER,OVER,OVER
backfill,2026-05-04,CIN,CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-05-04,CLE,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-05-04,MIL,STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-05-04,LAD,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-05-04,CWS,LAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
